"USERID","CUST_PROD_ID","GRADEID","SUBTESTID","DATETIMESTAMP"
"5590936","5001","10006","2001",
"5590930","5001","10003","2001",
"5590940","5001","10002","2002",
"5590939","5001","10003","2001",
"5591467","5001","10005","2001",
"5591468","5001","10004","2002",
"5591362","5001","10004","2002",
"5591370","5001","10004","2001",
"5591368","5001","10004","2001",
"5591367","5001","10005","2001",
"5591355","5001","10004","2001",
"5591354","5001","10006","2002",
"5591351","5001","10004","2002",
"5591249","5001","10004","2001",
"5591236","5001","10005","2002",
"5591234","5001","10006","2002",
"5591242","5001","10004","2001",
"5591230","5001","10006","2002",
"5591230","5001","10006","2001",
"5591132","5001","10006","2001",
"5591123","5001","10006","2001",
"5591121","5001","10005","2002",
"5591012","5001","10004","2001",
"5591007","5001","10004","2001",
"5591013","5001","10006","2002",
"5590993","5001","10003","2001",
"5590992","5001","10002","2002",
"5592665","5001","10003","2001",
"5592665","5001","10003","2002",
"5592662","5001","10003","2002",
"5592649","5001","10003","2001",
"5592649","5001","10003","2002",
"5592642","5001","10002","2002",
"5592641","5001","10003","2002",
"5591600","5001","10002","2001",
"5591599","5001","10002","2001",
"5591599","5001","10002","2002",
"5591593","5001","10003","2001",
"5591590","5001","10003","2002",
"5591586","5001","10003","2001",
"5591492","5001","10002","2002",
"5591494","5001","10002","2001",
"5591488","5001","10002","2002",
"5591490","5001","10002","2002",
"5591489","5001","10003","2002",
"5591482","5001","10003","2002",
"5591481","5001","10002","2001",
"5591484","5001","10003","2001",
"5591474","5001","10003","2002",
"5591471","5001","10002","2001",
"5591348","5001","10003","2002",
"5591348","5001","10002","2001",
"5591348","5001","10002","2002",
"5591347","5001","10002","2001",
"5591226","5001","10002","2002",
"5591135","5001","10002","2001",
"5591000","5001","10002","2002",
"5590999","5001","10003","2001",
"5592173","5001","10006","2002",
"5592175","5001","10006","2002",
"5592172","5001","10006","2001",
"5592407","5001","10003","2002",
"5592638","5001","10004","2002",
"5592542","5001","10006","2002",
"5598813","5001","10004","2002",
"5592534","5001","10002","2002",
"5592527","5001","10003","2001",
"5599973","5001","10005","2002",
"5599972","5001","10002","2001",
"5599964","5001","10003","2001",
"5599966","5001","10004","2001",
"5599960","5001","10004","2001",
"5599362","5001","10005","2002",
"5599360","5001","10004","2001",
"5599264","5001","10003","2001",
"5599357","5001","10003","2001",
"5599262","5001","10002","2001",
"5599261","5001","10003","2002",
"5599597","5001","10006","2001",
"5599499","5001","10002","2001",
"5599495","5001","10004","2002",
"5599498","5001","10002","2002",
"5599494","5001","10004","2002",
"5599494","5001","10003","2002",
"5599266","5001","10005","2002",
"5599175","5001","10006","2002",
"5599171","5001","10005","2002",
"5599174","5001","10006","2001",
"5599174","5001","10005","2001",
"5599275","5001","10006","2001",
"5599167","5001","10006","2001",
"5599272","5001","10006","2001",
"5599270","5001","10006","2002",
"5599269","5001","10006","2002",
"5599159","5001","10004","2002",
"5599157","5001","10003","2002",
"5599157","5001","10002","2002",
"5599156","5001","10003","2002",
"5599375","5001","10003","2001",
"5599379","5001","10004","2001",
"5599371","5001","10006","2002",
"5599367","5001","10005","2001",
"5598598","5001","10004","2001",
"5598598","5001","10003","2002",
"5598597","5001","10002","2001",
"5598596","5001","10002","2001",
"5598642","5001","10006","2002",
"5599028","5001","10004","2001",
"5599037","5001","10006","2002",
"5599030","5001","10006","2002",
"5599029","5001","10004","2002",
"5598923","5001","10003","2002",
"5599051","5001","10002","2001",
"5599047","5001","10002","2001",
"5599047","5001","10002","2002",
"5588125","5001","10004","2001",
"5588124","5001","10004","2002",
"5588131","5001","10002","2002",
"5588119","5001","10003","2002",
"5588118","5001","10004","2001",
"5587498","5001","10006","2001",
