"ORG_USER_ID","USERID","ORG_NODEID","ORG_NODE_LEVEL","ADMINID","ACTIVATION_STATUS","CREATED_DATE_TIME","UPDATED_DATE_TIME"
"5588289","5588242","604187","3","101","AC",,
"5588290","5588243","604187","3","101","AC",,
"5588291","5588244","604187","3","101","AC",,
"5588292","5588245","604187","3","101","AC",,
"5588293","5588246","604187","3","101","AC",,
"5588294","5588247","604187","3","101","AC",,
"5588295","5588248","604198","3","101","AC",,
"5588296","5588249","604198","3","101","AC",,
"5588297","5588250","604198","3","101","AC",,
"5588298","5588251","604198","3","101","AC",,
"5588299","5588252","604198","3","101","AC",,
"5588300","5588253","604198","3","101","AC",,
"5588301","5588254","604198","3","101","AC",,
"5588302","5588255","604198","3","101","AC",,
"5588303","5588256","605404","3","101","AC",,
"5588304","5588257","605404","3","101","AC",,
"5588305","5588258","605404","3","101","AC",,
"5588306","5588259","605404","3","101","AC",,
"5588307","5588260","605404","3","101","AC",,
"5588308","5588261","605404","3","101","AC",,
"5588309","5588262","605404","3","101","AC",,
"5588310","5588263","605404","3","101","AC",,
"5588311","5588264","605404","3","101","AC",,
"5588312","5588265","605404","3","101","AC",,
"5588313","5588266","605404","3","101","AC",,
"5588314","5588267","605404","3","101","AC",,
"5588315","5588268","605404","3","101","AC",,
"5588316","5588269","605404","3","101","AC",,
"5588317","5588270","605404","3","101","AC",,
"5588318","5588271","605486","3","101","AC",,
"5588319","5588272","605486","3","101","AC",,
"5588320","5588273","605486","3","101","AC",,
"5588321","5588274","605486","3","101","AC",,
"5588322","5588275","605486","3","101","AC",,
"5588323","5588276","605486","3","101","AC",,
"5588324","5588277","605486","3","101","AC",,
"5588325","5588278","605486","3","101","AC",,
"5588326","5588279","605485","3","101","AC",,
"5588327","5588280","605485","3","101","AC",,
"5588328","5588281","605485","3","101","AC",,
"5588329","5588282","605485","3","101","AC",,
"5588330","5588283","605384","3","101","AC",,
"5588331","5588284","605384","3","101","AC",,
"5588332","5588285","605384","3","101","AC",,
